"accountId";"comment";"fee";"quantity";"type";"unitPrice";"currency";"dataSource";"date";"symbol"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-08-03T16:13:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-08-03T16:13:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.03";"EUR";"MANUAL";"2021-08-03T16:13:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.70";"0.7";"1";"DIVIDEND";"4.68";"USD";"YAHOO";"2021-08-03T07:52:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.19";"0.19";"1";"DIVIDEND";"1.26";"USD";"YAHOO";"2021-08-03T07:47:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -1.26";"1.26";"1";"DIVIDEND";"1.26";"USD";"YAHOO";"2021-07-15T14:45:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividendbelasting";"0";"1";"DIVIDEND";"0.19";"USD";"YAHOO";"2021-07-15T14:43:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.17";"EUR";"MANUAL";"2021-07-02T08:23:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.17";"EUR";"MANUAL";"2021-07-02T08:23:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.17";"EUR";"MANUAL";"2021-07-02T08:23:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.04";"EUR";"MANUAL";"2021-06-30T09:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.04";"EUR";"MANUAL";"2021-06-30T09:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.04";"EUR";"MANUAL";"2021-06-30T09:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.25";"EUR";"MANUAL";"2021-06-29T08:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.31";"USD";"MANUAL";"2021-06-29T08:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Valuta Creditering";"0";"1";"FEE";"95.34";"USD";"MANUAL";"2021-06-28T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Valuta Debitering";"0";"1";"FEE";"80.06";"EUR";"MANUAL";"2021-06-28T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Koop 2 @ 47,67 USD";"1";"2";"BUY";"47.67";"USD";"YAHOO";"2021-06-28T15:30:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.05";"0.05";"1";"DIVIDEND";"0.36";"USD";"YAHOO";"2021-06-28T08:01:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.55";"0.55";"1";"DIVIDEND";"3.64";"USD";"YAHOO";"2021-06-08T16:18:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -3.64";"3.64";"1";"DIVIDEND";"3.64";"USD";"YAHOO";"2021-06-08T16:16:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -3.64";"3.64";"1";"DIVIDEND";"0.55";"USD";"YAHOO";"2021-06-08T14:48:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividendbelasting";"0";"1";"DIVIDEND";"0.55";"USD";"YAHOO";"2021-06-08T14:47:00.000Z";"T"
